gene_id	orgP10_1	orgP10_2	orgP10_3	P27RE_1	P27RE_2	P27RE_3	P29_1	P29_2	P29_3	P42RE_1	P42RE_2	P42RE_3	P11_1	P11_2	P11_3	p26RE1	p26RE2	p26RE3	P12_1	P12_2	P12_3	P16RE_1	P16RE_2	P16RE_3				
CSRNP1	10.33034892	9.98920649	9.065484768	5.215906534	4.781999164	4.762222337	8.010023172	8.29989077	9.725325474	3.468681115	3.232696661	3.228081944	15.89731789	14.81912054	14.8929101	8.91284213	7.912843116	8.462892839	8.488229675	8.873067974	8.067179	5.939958147	5.184656483	5.805294665				
CSRNP2	5.155524424	4.91365645	5.321595247	4.052841489	4.481978981	4.242498675	7.646363976	6.567191281	8.767165451	6.771489034	8.362465834	8.227563584	9.202996388	8.685576843	8.344061322	15.93295178	15.59851178	17.33910945	5.741937391	6.13397577	5.315136925	3.805348181	3.380026726	4.144496967				
CSRNP3	1.426642633	1.522783777	1.467375851	0.899016044	1.049960693	1.010231277	0.877528993	1.015338922	0.479062232	0.380266031	0.22489904	0.256495664	0.06837366	0.042852107	0.066077648	1.202158803	1.365012857	1.089122247	0.949345998	1.040056588	0.982197186	1.425282623	1.446744035	1.475573604				
CSRP1	1.741464553	1.976055895	2.222589804	2.958792557	2.833730384	3.638980064	36.96807871	35.47888009	37.07244716	35.15923124	34.14193626	33.89155174	0.124420056	0.191401271	0.240483971	3.150111269	3.549859887	4.275206513	33.53976854	30.73107093	31.93620478	49.15786446	47.8922524	46.32956317				
CSRP2	21.61946379	24.13386316	25.76586796	8.809771891	6.486348284	7.625933632	8.647175048	10.95737459	11.55245583	17.99643922	18.74527613	19.57086816	9.607079537	14.08291241	11.80742428	19.74635702	20.01840885	18.46351305	6.097194623	7.326694413	5.466132508	5.795892096	7.280157892	6.531601885				
CSRP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CST1	0.073961323	0.069454838	0.070796309	0.430841723	0.52516662	0.345578198	13.77938794	12.53701217	15.92422433	0	0	0	0.126821144	0	0	0	0	0	0.069204509	0.072342094	0	0	0	0				
CST11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CST2	0	0	0	0	0	0	0	0.07669996	0	0	0	0	0	0.142432454	0	0	0	0	0	0	0	0	0	0				
CST3	42.33540131	42.55106102	42.54007462	154.0278172	154.5294757	152.2559828	118.5703622	120.6830602	118.8774057	67.56124594	69.51171962	75.14907396	37.86657239	34.20426898	35.22908959	20.19075901	21.46791972	18.81489895	141.1828353	139.3871554	129.0991237	136.5608407	137.2776123	126.1007812				
CST4	0	0	0	0	0	0	0.207214308	0.14464612	0.289753172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CST5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CST6	0	0	0.088350074	0	0	0	0	0	0	0	0.099685362	0.109049981	0	0	0	0	0	0	0	0	0	0	0	0				
CST7	0	0	0	0	0	0	0	0.114472629	0.057327509	0.328326878	0.261111336	0.214230447	0.051819392	0	0	0.163997728	0	0.212253363	0.056554222	0	0	0	0	0				
CST8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CST9	0.066560812	0	0.031856243	0	0.029538679	0.062199984	0.030098625	0.031515555	0	0	0	0	0.114131521	0	0	0	0	0.0389571	0	0	0	0	0	0.031310277				
CST9L	0	0	0	0	0	0	0.053009986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CSTA	0	0.318754088	0	0	0	0	0	0	0	0.295018354	0.293277225	0.080207052	72.40445816	78.07569122	65.52946184	73.21963792	76.6622055	75.3345633	1.651547209	1.195217204	1.761913848	2.242619405	2.83223469	2.107658084				
CSTB	30.01885547	27.90902284	23.98337941	32.1634041	32.11058668	32.91374993	75.22731748	86.18692924	87.96906304	60.15926395	63.42088784	62.24306112	114.0203037	92.38093181	98.00301719	45.9987458	46.92868579	48.01893643	18.91197251	20.70523081	17.52448247	23.8930989	22.26108654	24.0224101				
CSTF1	27.99602881	28.7530068	27.09087377	30.40572213	28.82495013	28.71469981	27.03905022	24.56599524	27.00968216	28.25500432	28.67833919	27.18944203	21.84755546	22.63668132	22.68930115	25.02431899	25.13039635	24.38025316	22.67819907	19.28147444	20.41956765	26.35164995	25.28427628	27.38733764				
CSTF2	4.476577175	3.906378051	3.860553049	9.655904284	10.10186205	8.761225186	8.727391297	8.738321002	9.132776164	19.27039496	20.41097109	20.38247385	10.2828985	9.060459042	9.76263743	12.06048658	10.93658642	12.65546725	5.749537609	5.948248507	5.526002525	6.228161115	6.488539515	6.615348649				
CSTF2T	10.33946911	10.45438956	10.21120486	11.64495642	11.20419345	11.809189	9.004629675	9.493290296	9.482472179	16.44845761	16.51386253	16.4331954	5.968307966	6.385444431	6.028521626	3.376916726	3.500278485	4.130419464	5.656247815	6.367512387	6.211710867	5.733528945	6.342233796	5.635712683				
CSTF3	18.86813513	20.17850279	20.28962267	18.00270106	18.49440718	16.91196334	8.934725817	8.236589809	8.136036069	13.70932228	12.90723518	12.98694597	9.879146955	10.0714886	10.73905359	17.72329394	18.06801053	17.35654521	13.3771493	13.66545019	13.25701976	14.85392586	16.11325798	15.22220201				
CSTL1	0.229119317	0.14343934	0.438629306	1.408821214	1.626874855	2.497929368	0.207214308	0.07232306	0.217314879	0.248921736	0.412421097	0.451164665	0.196434925	0.134304515	0.126559046	0	0	0	0.643150596	0.149402151	0.49553827	0	0.245097233	0.21555594				
CT45A1	0	0	0	0	0	0	0	0	0	0	0	0	0.379797122	0.605899177	0.326260799	0.200329975	0.119405919	0.4609355	0	0	0	0	0.039490272	0				
CT45A10	0	0	0	0	0	0	0	0	0	0	0	0	0.094928499	0.194710682	0.030580255	0.801144516	0.313371937	0.777658416	0	0	0	0.232234483	0.236889775	0.833350871				
CT45A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CT45A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071655818	0	0				
CT45A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035892565	0	0	0	0	0	0	0	0.032107218	0	0				
CT45A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043392503	0	0	0	0	0	0	0	0	0	0				
CT45A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CT45A8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CT45A9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047507973	0	0	0	0	0	0				
CT47A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156146739	0.02720435	0.060154407	0.021876121	0.089258567	0.078500333				
CT47A10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CT47A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CT47A12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063079543	0.034428417	0.030781391	0.059411777	0	0.049643333	0	0.059880325	0.020360222	0				
CT47A2	0	0	0	0	0	0	0	0	0	0	0	0	0.047691276	0	0	0	0	0	0	0	0	0	0	0				
CT47A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CT47A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075466545	0	0	0.026024456	0	0.030077203	0	0.022314642	0				
CT47A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CT47A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CT47A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CT47A8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CT47A9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CT47B1	0	0	0	0	0	0	0	0	0	0	0	0	0.525731289	0.898619298	0.779051469	1.386526248	0.495860218	0.574241827	0	0	0	0	0.032798466	0				
CT55	0.02392959	0	0	0	0	0	0	0	0	0	0	0	0.697543289	0.799537818	0.53533022	0.746681866	0.551483533	0.560225991	0.02239056	0.023405701	0	0	0	0				
CT62	0	0	0.025731801	0	0	0	0.194496707	0.229109494	0.152983023	0.087616642	0.290331829	0	0	0	0	0	0	0	0	0	0	0	0	0				
CT83	0	0	0	0	0	0	0	0	0	0	0	0	0.251874747	0	0	2.524250748	2.256855086	3.553579828	8.338299325	8.141636358	10.06040529	16.17499014	15.47784755	15.84649106				
CTAG1A	0	0	0	0	0	0	0	0	0	0	0	0	0.064427854	0	0	0.101950459	0	0.263897898	0.140629483	0	0	0.05910647	0.060291298	0				
CTAG1B	0	0	0	0	0	0	0	0	0	0	0	0	0.064427854	0	0	0.101950459	0.273452326	0.087965966	0	0	0	0	0	0				
CTAG2	0	0	0	0	0	0	0	0	0	0.184497883	0	0	11.06524063	11.24857792	14.30512324	1.843116463	1.510551017	2.650495171	12.39408842	11.01814531	8.325176009	4.318760374	4.814074953	4.313723713				
CTAGE1	0.013026792	0.048932261	0.037408015	0.012647343	0	0	0.047125448	0.012335984	0	0	0.084414905	0.046172495	0.055842451	0.091632095	0.010793448	0.159056893	0.063203504	0.060995173	0.073133849	0.063707985	0.042261433	0.092214312	0.031354269	0.098045066				
CTAGE15	0	0.020404204	0.062394892	0	0	0.020304556	1.139745442	0.761307142	0.535824961	0.165242209	0.023466713	0.102684868	0	0.038209557	0.018002988	0.088433255	0.131775763	0.07630291	0.142314645	0.170019301	0.258463976	0.102539559	0.139460041	0.040883693				
CTAGE4	0.02140541	0.020101172	0.061468235	0	0.018998792	0	1.277690051	1.175676617	0.710590414	0.162788117	0.069354591	0.17702973	0.128463155	0.169389396	0.124149316	0.580799266	0.363492353	0.200452529	0.881263811	0.984028788	1.111092663	0.757625204	0.49803459	1.006912745				
CTAGE6	0.08446372	0.059487991	0.181910877	0.102504292	0.093709295	0.019732489	0.171874227	0.259950053	0.260364233	0	0.045611109	0	0.090518473	0.092832572	0.034991532	0.028647237	0.102450458	0.049435419	0.197578612	0.041307281	0.205512491	0.149475867	0.101648139	0.119195471				
CTAGE8	0	0.016967431	0.069180578	0	0	0	0.669977387	0.633076688	0.565535603	0.039259916	0	0	0.01549085	0.047660619	0.104794633	0.294152145	0.241076368	0.211502869	1.217251915	1.219421217	0.937875067	1.065854381	0.739309686	1.104917624				
CTAGE9	0	0	0	0	0	0	0.078908152	0.185901417	0.041377248	0	0	0.025770834	0	0	0.018072848	0.02959214	0.07937227	0.025533001	0.081638225	0.085339529	0.094351615	0.068624974	0.10500091	0.020521171				
CTBP1	7.891941889	7.95894085	7.615422119	7.94914771	8.100565379	7.359953336	9.594875354	9.539507787	10.47568844	11.1267031	10.29284847	10.80183206	17.01640983	17.88359086	18.14676969	18.70829705	20.22594689	19.56602714	11.83369055	11.9715443	12.15547708	10.52253997	9.348507121	10.1653364				
CTBP2	1.007030398	0.980059801	1.308617117	10.13249916	11.370342	10.1405626	7.611687243	7.588565805	6.668664536	12.33974326	12.02302879	13.45534685	4.374434434	4.684821456	4.94561423	6.483252212	6.403515166	6.586998513	19.73613399	20.10560381	19.85280907	14.22837134	14.36179303	15.70988545				
CTBS	11.92730688	11.52399334	11.64246557	8.306543209	8.205199204	8.621958737	10.67223849	10.43653711	12.722603	8.054543339	7.889545102	7.731225203	12.13736834	13.80239832	12.24043509	9.320264316	9.60819118	9.272480854	9.464123829	10.28326186	9.624617748	9.880253568	11.45989616	10.77784336				
CTC1	5.8228341	6.228948601	6.067912025	7.758723099	8.066013037	7.549584539	4.174116897	3.941831642	3.902904796	3.883685651	4.632918058	4.326692089	3.418937464	3.115196635	3.205399388	5.248460367	5.694578994	5.142254674	5.381442735	4.918362713	4.75910958	4.211227411	3.798522179	3.833946923				
CTCF	13.97904067	14.70730886	14.48136823	15.76349812	18.33105287	16.56154853	12.7440159	11.89670142	11.33051267	13.66393438	11.37241145	12.88802676	14.71365694	13.41316508	14.17309791	16.32082156	17.72122044	18.43147004	14.01145311	14.86612888	13.91907545	12.49483357	13.4427487	12.10941548				
CTCFL	0	0	0.014363373	0	0	0.007011197	0	0	0	0	0.016206189	0.026592941	0	0	0	0	0	0	0.035101059	0.036692466	0.024340374	0	0	0				
CTDNEP1	32.63548383	32.32589169	32.66018836	53.74953724	52.17693156	50.12094796	35.27044444	31.27787161	34.80536971	39.57126507	35.73776656	37.12596328	55.7260996	49.18426812	52.19772658	56.60839105	57.15423874	62.10956773	43.89095431	49.34861762	44.30334747	49.66957258	49.08498199	47.58049744				
CTDP1	4.215795439	5.011973372	4.755509646	6.118822856	6.526123577	6.234370324	4.749882183	4.328279467	4.941023284	5.505444781	6.254803356	6.574061604	12.51045753	11.78189747	12.27852858	12.6135374	12.22433176	13.15970853	8.792467765	7.913786642	7.997353654	8.228277389	7.459373358	7.264743234				
CTDSP1	29.28405628	29.30676105	28.57981672	19.4860403	16.66043776	19.94654484	63.37572801	64.5973637	78.23742916	42.65540025	48.04646879	44.91165756	30.02305866	31.0931241	30.82038432	17.63412435	18.61021516	19.15332776	22.84580304	23.64476166	23.89548224	19.08387259	19.73224423	19.63782543				
CTDSP2	24.67334714	24.93313535	24.56819559	13.56571793	12.45610311	14.48760166	28.12223078	28.00956675	34.43542696	26.81321599	28.58723563	27.49528399	13.26257863	12.9377036	14.70541682	22.41715771	22.80668956	22.13723206	22.08715116	23.04861312	21.9809574	14.36089083	13.16969752	13.68956308				
CTDSPL	6.479533144	6.417299667	5.944874521	12.63252798	13.88863817	12.09777707	10.23137267	10.16029723	12.19809807	12.81796405	12.78481342	12.47490564	19.16211116	18.71782795	19.79560088	12.61640206	11.9640524	11.87613411	17.62999188	16.94751339	16.00677455	22.6397021	21.1835385	22.42794464				
CTDSPL2	17.30073785	16.06638138	17.40540188	13.65729527	12.97093417	13.73723482	19.6820342	21.22648483	22.45255683	14.30290075	14.21848838	13.89901396	13.73859648	13.90420847	12.05288039	15.69960499	13.95506234	13.73704637	12.39018241	12.69851969	12.71131513	13.95481765	15.22765928	15.37382156				
CTF1	0.183794897	0.057532073	0.029321632	0.118960839	0.054376925	0.143127755	0.027703857	0.02900805	0.087162807	0	0.165417944	0.217149118	0.236364204	0.08080228	0.101523115	0.415580074	0.22293443	0.286860131	0.25796122	0.389504026	0.265007206	0	0.049153015	0.028819105				
CTGF	17.09819197	17.83543353	18.96036303	11.43152001	9.599301975	9.70331685	17.76243876	14.35205465	18.65100623	15.18904009	15.1511969	15.95121159	7.771582412	7.33770195	8.32525277	3.155766866	3.345046799	3.312383972	62.6253564	58.75634747	51.52808754	32.19678711	29.1481675	29.46470688				
CTH	3.800219309	3.864235584	3.771496445	4.119592641	3.704047437	4.139485013	4.174882713	4.007135495	3.184280401	1.329785135	1.271577548	1.253305873	12.23290142	10.36244838	9.668250276	13.75887204	14.28091824	13.7546518	5.115565125	5.393101604	5.118027224	6.665670275	5.330941057	5.494486052				
CTHRC1	2.538061884	2.593718525	2.893904902	0.72474482	1.192609455	0.94173501	0.033756027	0.141380537	0	0.040550332	0.040311013	0.088195802	0.096000069	0.164090509	0.030925451	2.126743448	1.40345563	2.140855637	1.012793738	0.620624073	0.363263114	0.234855988	0.179672872	0.316034207				
CTIF	3.795648215	4.13976006	4.090230696	3.043866685	3.178209655	2.58772712	2.310099261	1.944122489	2.015146353	2.360105067	2.105542816	2.613587195	10.84730116	10.71181172	12.03901888	14.19599531	14.58396922	14.46561958	9.478196199	9.145171277	9.129951227	7.654421767	6.218197292	6.625354724				
CTLA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CTNNA1	104.3734604	102.503882	99.43357823	78.6635636	74.78594094	76.04266119	64.06992961	63.86596881	61.14317789	45.63087548	41.74466619	42.08695571	86.78983508	85.83749914	88.22968222	90.25256466	93.11582233	93.67396555	51.32272325	50.30341652	48.91854481	52.60820409	51.85224039	51.92330986				
CTNNA2	0	0.008455178	0	0	0.007991483	0	0.114001614	0.127894696	0.034159592	0	0.009724233	0.010637744	0	0	0	0	0	0	0	0	0	0	0	0				
CTNNA3	0.032999548	0.030988876	0.03553583	0.016019163	0	0.019273459	0.074611546	0.113279768	0.179971443	0.008962912	0.013365022	0.004873519	0.003536511	0	0	0	0	0	0.054035075	0.032277092	0.053528461	0.035688562	0.066189023	0.034926801				
CTNNAL1	21.19274191	22.4654539	23.12752207	29.91642682	30.21530154	31.20488533	27.26047742	26.10187756	26.28733712	15.25542865	12.14635778	14.61870913	15.97731302	15.33784481	17.16441211	19.43221347	16.79549669	19.73448965	18.41042686	16.68051397	17.64528871	18.4754886	20.11498061	18.65381553				
CTNNB1	151.7359172	158.4922213	158.5969189	261.481637	261.6509711	259.2884084	221.4202197	233.2319174	255.5624327	215.3546062	222.7905873	215.6400287	107.0996444	106.3969434	104.9996319	95.98506388	94.16726119	95.16659995	128.5802045	127.2796402	128.40783	152.4400867	162.1319051	159.6588137				
CTNNBIP1	6.905874433	7.254260183	7.179150284	4.911595644	5.231409772	5.402868288	4.357420875	3.786918088	4.585054195	3.105784648	3.590467372	3.5103189	5.135894	3.883319111	5.389245796	2.81068678	2.707750976	3.026732961	4.433043092	4.084227933	5.227598388	4.610642426	4.56132953	4.638599603				
CTNNBL1	26.79151201	27.14230749	26.13865298	29.27741105	30.20912575	30.17657067	15.36868117	15.41779775	16.83986194	26.35909728	24.797877	27.27249993	27.39092937	22.90909968	23.2156509	30.7501114	27.46294414	28.51557636	10.2249737	9.415533697	9.267943946	11.97519293	11.86060738	12.01362596				
CTNND1	57.24629733	55.17973606	58.13503021	83.90535131	87.39930402	86.25327067	75.39024322	73.2307545	70.50958639	57.21232862	52.75415295	52.93043953	47.3496229	45.06540403	44.89414107	38.06942541	37.10752372	37.66577991	44.32924767	43.96667659	44.34029616	40.73040823	39.6790419	39.04185401				
CTNND2	1.991063997	2.237165584	2.555018533	0.067530747	0.046302393	0.073124667	0.047180118	0	0	0.094460633	0.197196612	0.092452119	38.94125136	42.27611131	42.84206759	51.38189614	53.74311752	53.05611798	8.346930797	8.104552484	7.53126191	9.314192309	8.44757089	9.218747974				
CTNS	3.315958297	3.264810584	3.034232662	3.687384117	4.511956459	3.672037778	2.734711906	2.517624367	2.105981475	2.904259424	2.871342558	3.089305488	8.453644367	7.732142664	8.109251169	10.44398734	9.798329347	10.31094626	6.601764814	6.08666225	5.528874667	6.709874633	5.754434615	5.620886295				
CTPS1	8.738104296	8.983314425	8.896549368	15.23924184	19.81152968	14.59877926	5.890693934	5.407246002	4.384268753	16.27427104	15.51080562	19.15826902	25.52651978	24.51642096	25.18135441	32.59617116	33.05598501	34.34602907	20.04130918	18.83439459	17.82949891	21.18231375	18.74120793	20.59276486				
CTPS2	7.170945251	7.646235932	7.605860553	8.922467168	8.49597222	8.516657267	13.63209955	12.85783238	11.91555064	17.43128833	17.18695652	17.48619627	3.312617541	3.877149672	3.192335218	4.486691248	5.149965711	4.752826768	7.322508895	8.028146318	7.152685986	9.975519483	9.912779112	10.23774916				
CTR9	18.99766888	18.60930457	19.12085437	19.92791331	18.45678555	19.94643088	18.18750956	19.47204808	19.01607595	20.54663603	18.32606331	17.99666215	11.92747622	11.39397675	12.33727752	15.24183758	14.72455731	14.41042463	13.66932029	13.16506536	13.6960254	14.9327265	14.71223059	15.63029034				
CTRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CTRB2	0	0	0	0.061318298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
CTRC	0.016115426	0	0	0.046938032	0	0.0150596	0.058298827	0.045782488	0.030570289	0.035016513	0	0	0	0	0	0	0	0	0	0.015762612	0.069708747	0	0.025858882	0.015161427				
CTRL	1.521776131	1.205764196	1.046970797	1.615960214	1.519517631	1.510954424	0.473098431	0.180134593	0.766791812	0.723319111	0.46224659	0.337113902	0.285401222	0.752650681	0.472829737	1.032269965	1.326698764	1.558679521	0.533963721	0.744230002	1.079954808	0.374040945	0.763077679	0.894806385				
CTSA	45.54966057	46.79932075	45.96476096	78.90644591	82.21105891	80.71813456	56.91397056	59.55886965	64.8732543	32.14251179	32.56087882	35.81282427	165.2854442	160.9036649	168.2974431	189.9204968	196.2372821	193.1437027	79.66635202	76.17260199	75.1232815	54.28246555	53.18491165	53.07101008				
CTSB	92.30739739	91.02456415	91.11595376	41.28263233	41.86523732	41.00339584	61.40354746	64.37379644	84.07781598	47.97051375	54.47024549	52.93336416	28.05453855	28.18047851	27.5303372	14.38509875	14.52173417	14.928018	16.41570565	16.13811326	15.25818898	13.74234902	13.41086606	14.05394646				
CTSC	17.93971162	18.01443382	18.45393514	31.2694421	32.64880922	30.59255994	11.57947948	10.77974313	8.256467138	13.31857829	12.13531937	13.37965756	21.95421931	23.10424444	22.61316419	40.11106632	41.01200209	41.11224558	34.04691505	33.49612253	34.75760824	53.65703779	56.24395942	54.28145737				
CTSD	257.091372	268.8514015	254.6306136	111.2544405	114.5632552	113.0970172	153.0365345	159.6140983	169.4866345	112.1272631	106.6042681	109.3614647	690.124467	638.3921866	703.3225412	335.4603272	356.5440505	351.8966806	406.2457861	408.2711091	397.4426997	173.2854706	178.9683138	177.929194				
CTSE	0.902176465	1.129608781	1.079462224	137.2482837	152.6307926	141.5185091	13.41741128	13.09979239	4.017014997	0.136131964	0.054131418	0.02960831	0.042971052	0.044069604	0.103820172	0	0	0	0.14069218	0.098047243	0.081300973	0.019710941	0	0.023576932				
CTSF	3.723816732	3.011948688	2.940032407	3.958410416	3.474022901	3.911651095	3.441547758	2.934329809	4.021796446	2.775854512	3.552086386	2.729677121	11.32559426	10.15726601	11.0128402	2.691925961	3.593667803	3.595374911	48.98394171	47.48271985	45.35437179	44.08336609	46.38453279	43.70268136				
CTSG	0	0	0	0	0	0	0	0	0	1.074709718	0.502760957	0	0	0	0.19285188	0.157886012	0.070580518	0.272457733	0	0	0	0	0	0				
CTSH	6.840326591	6.027285917	5.782304622	8.085729692	8.14101633	8.467553356	36.55573683	40.56903628	40.3808996	19.27853441	21.65929361	20.23043034	60.89218785	63.97203682	62.14124187	11.75068669	14.46585494	11.41270652	31.35776318	31.10681458	29.18017532	32.24602406	33.10623515	34.99767724				
CTSK	5.403671502	3.79123647	4.845440199	19.598141	16.48326833	17.26745428	7.723789304	6.440508364	7.363892771	1.821942077	3.052189548	1.907952934	2.848921397	2.375631681	1.723999917	1.853808575	1.582095447	2.035756015	4.998018431	5.28536934	6.045019336	3.395258519	2.815503682	3.506059052				
CTSL	8.210796354	8.488040534	8.93817885	10.36088552	11.08458269	9.370768558	21.69498759	23.28258045	25.30479421	25.36204224	25.65947718	27.14608315	28.53268184	28.73633031	30.49016635	23.52669538	27.9530039	24.60714728	33.93739264	34.17127944	34.49681691	46.72613149	51.81459798	48.07944086				
CTSO	0.229978612	0.449929057	0.348550529	0.61401923	0.493294933	0.608915148	1.178618216	1.070765962	1.217891955	0.229034024	0.186285533	0.113214181	0.03286194	0.033702053	0	0.078000965	0.069738268	0.044867741	0.735224169	0.693576434	0.663195666	0.618028376	0.61504113	0.540910918				
CTSS	0.602207611	0.745451489	0.759849355	4.358421587	3.121972979	4.169488892	6.89456375	7.85421038	2.167892737	0.178433307	0.177380235	0.129362432	0.809654347	1.022898763	1.077308075	1.522579347	1.377892559	1.313727902	0.755571016	0.602410424	0.577223054	0.247593794	0.439229519	0.309031745				
CTSV	2.327739813	2.220606921	2.216340191	3.706774393	3.924366251	3.625390914	1.860146437	2.530863408	3.072247043	3.104286027	3.085965258	3.157599077	2.734824064	2.382404363	3.071580293	4.060237359	4.406952255	3.085207739	0.679914585	0.626415327	0.639292141	0.619970408	0.790497648	0.776328844				
CTSW	0	0	0	0	0	0	0	0	0	0	0	0.102486788	0	0	0	0	0.15782588	0.101540961	0	0	0	0	0.104393266	0				
CTSZ	17.98739387	17.45446386	18.76007794	66.652172	66.85371071	65.41472753	150.6457228	150.9596343	183.508797	121.0790727	131.1301127	128.3954481	61.42878042	59.63836744	57.47198171	33.70645309	35.13582861	36.93491526	106.2427616	102.6659706	104.0251555	82.38102198	86.94873353	87.78587523				
CTTN	21.4919422	19.78211911	21.02562386	42.3181508	44.59380387	41.20788877	37.87844374	36.36489397	34.18782234	37.69361319	37.96991712	37.19991898	99.6835033	103.9290038	108.3057501	229.7246459	233.167639	234.0720433	56.27389325	57.16899886	55.190179	48.3003083	43.01732667	43.72572154				
CTTNBP2	0.059978336	0.066564536	0.036534714	2.138675634	2.39557283	1.844513996	0.098625622	0.051634273	0.093089776	0.005923833	0	0.006442083	0.009349507	0.009588527	0.018071095	0.414249767	0.357140568	0.370192596	0.040815153	0.005333203	0.035378423	0.042886448	0.008749227	0.041038361				
CTTNBP2NL	6.652596328	6.567213339	7.183266656	5.317566633	4.40769105	5.420744122	11.75581396	11.88171763	12.63585526	6.089296849	6.025760344	5.907488178	3.191380395	2.928444918	3.218308906	4.414444078	4.535742144	4.516857071	6.400079935	6.631925013	6.051889718	5.554091425	5.515077724	5.44938309				
CTU1	5.282249624	5.361241044	4.545479204	7.5112732	7.695547883	6.481846414	3.691502735	3.309492252	3.340068839	11.12976693	11.20814521	10.87420329	5.169150392	5.934640502	5.946052742	4.668914917	5.112749519	4.871652895	3.719372829	3.470497796	4.01008916	3.776979187	4.537614075	4.040898071				
CTU2	4.86548014	4.138999114	4.629876746	8.641696342	10.08485696	7.247992435	2.20015735	1.653266859	1.411587755	6.685230061	6.769417732	7.303905677	9.839616077	8.103130232	8.655504644	9.940065975	10.65758628	10.38571701	5.302390249	5.710752672	5.416270295	5.110001127	5.832415617	5.439092458				
CTXN1	1.201651907	1.462785982	1.192830923	1.123440545	1.382564538	1.289283033	0.402506547	0.126436514	0	0.14505653	0.288400881	0.31549377	1.22101751	2.191407315	1.327517219	1.992513967	1.889411955	0.833552401	1.915589564	2.74246988	2.310157825	3.535530966	3.999179551	2.889098146				
CTXN2	0.036288319	0.034077261	0.121574036	0	0.048312617	0.016955418	0	0.017181979	0	0	0	0	0	0	0	0	0	0	0	0	0.019621055	0	0	0				
CTXN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028431751				
CTXND1	1.40060994	1.376092113	1.410419914	3.725729088	4.972555609	3.752532266	0.04393194	0	0	0.008795737	0	0	0	0	0	0	0	0	0.227259513	0.213806678	0.280160289	0	0.012990895	0.007616745				
CUBN	0.114925802	0.119087822	0.246569209	0.203918789	0.161800488	0.22219918	0.043008948	0.007505608	0.060140534	0	0.012840183	0.004682138	0.030578702	0.031360445	0.013134159	0	0.019227518	0.004638927	0	0	0	0.003117008	0.006358981	0				
CUEDC1	3.959643259	4.037829565	4.193965805	5.456007426	6.642448775	5.264232597	5.623896304	5.231490575	5.446321546	6.608025482	5.158228834	6.028634591	4.934696379	5.001030663	5.332697619	2.861325651	3.267924095	2.707758956	10.3382925	9.316386828	9.005337448	7.780649253	7.489022782	7.821725503				
CUEDC2	27.87030875	27.09900141	28.70210227	22.31299025	22.85967745	21.38886333	16.40712264	14.33109255	16.8948388	31.96410396	34.31343529	33.76099891	21.92012287	21.77799362	20.5609774	21.93401055	20.2376061	21.78613953	25.33023886	22.93897635	26.68282992	28.87064432	27.71484094	27.50272716				
